epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,885.978,0.2955,0.75091,0.96572,0.81879,1,0.995,0.92867,0.44814,0.83928,0.96186,0.000117567,0.000117567,0.000117567
91,890.105,0.23463,0.84938,0.90536,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,0.000108989,0.000108989,0.000108989
92,893.285,0.27343,0.89876,0.9666,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,0.000100191,0.000100191,0.000100191
93,896.404,0.2842,0.82131,0.96431,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,9.11731e-05,9.11731e-05,9.11731e-05
94,899.453,0.28993,0.92721,0.85607,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,8.19351e-05,8.19351e-05,8.19351e-05
95,902.784,0.33272,0.85613,1.04554,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,7.24772e-05,7.24772e-05,7.24772e-05
96,905.523,0.35046,0.99844,0.93265,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,6.27993e-05,6.27993e-05,6.27993e-05
97,908.322,0.38054,0.96433,1.08452,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,5.29014e-05,5.29014e-05,5.29014e-05
98,911.055,0.3556,0.92607,0.97283,0.78196,1,0.995,0.92867,0.38372,0.86546,0.87792,4.27835e-05,4.27835e-05,4.27835e-05
99,913.939,0.30017,0.83293,1.00316,0.76492,1,0.995,0.92867,0.37957,0.8696,0.8778,3.24456e-05,3.24456e-05,3.24456e-05
100,918.117,0.24383,0.81922,0.87206,0.76492,1,0.995,0.92867,0.37957,0.8696,0.8778,2.18878e-05,2.18878e-05,2.18878e-05
